Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.850000,0.775000
jittering_0.05,jittering,0.05,0.850000,0.800000
jittering_0.1,jittering,0.1,0.850000,0.825000
jittering_0.2,jittering,0.2,0.850000,0.850000
jittering_0.4,jittering,0.4,0.850000,0.825000
missing_0,missing,0,0.850000,0.775000
missing_0.05,missing,0.05,0.900000,0.800000
missing_0.1,missing,0.1,0.925000,0.825000
missing_0.2,missing,0.2,0.925000,0.800000
missing_0.4,missing,0.4,0.850000,0.850000
outlier_0,outlier,0,0.850000,0.775000
outlier_0.05,outlier,0.05,0.800000,0.800000
outlier_0.1,outlier,0.1,0.800000,0.775000
outlier_0.2,outlier,0.2,0.675000,0.725000
outlier_0.4,outlier,0.4,0.525000,0.525000
scaling_0,scaling,0,0.850000,0.775000
scaling_0.05,scaling,0.05,0.850000,0.800000
scaling_0.1,scaling,0.1,0.850000,0.825000
scaling_0.2,scaling,0.2,0.850000,0.850000
scaling_0.4,scaling,0.4,0.850000,0.825000
trend_0,trend,0,0.850000,0.775000
trend_0.05,trend,0.05,0.850000,0.800000
trend_0.1,trend,0.1,0.850000,0.825000
trend_0.2,trend,0.2,0.850000,0.850000
trend_0.4,trend,0.4,0.850000,0.825000
