"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.963487","0.953466"
"jittering_0.05","jittering","0.05","0.960760","0.953466"
"jittering_0.1","jittering","0.1","0.956198","0.952553"
"jittering_0.2","jittering","0.2","0.948896","0.948892"
"jittering_0.4","jittering","0.4","0.812038","0.895965"
"missing_0","missing","0","0.963487","0.953466"
"missing_0.05","missing","0.05","0.947073","0.932470"
"missing_0.1","missing","0.1","0.916941","0.913313"
"missing_0.2","missing","0.2","0.860415","0.859473"
"missing_0.4","missing","0.4","0.750892","0.732661"
"outlier_0","outlier","0","0.963487","0.953466"
"outlier_0.05","outlier","0.05","0.788311","0.662391"
"outlier_0.1","outlier","0.1","0.624977","0.610378"
"outlier_0.2","outlier","0.2","0.526476","0.524653"
"outlier_0.4","outlier","0.4","0.516401","0.516463"
